ax_ms2,ay_ms2,az_ms2,gx_dps,gy_dps,gz_dps
1.319,3.982,8.748,0.649,4.519,0.794
1.302,4.027,8.849,0.229,4.702,0.344
1.243,4.166,8.823,-0.672,5.351,-0.336
1.259,4.082,8.851,0.061,3.466,0.29
1.312,3.888,8.882,-1.649,4.275,-0.405
1.432,4.025,8.794,-0.55,4.618,-0.901
1.305,4.156,8.942,-1.389,5.13,0.542
1.336,4.096,8.923,-1.603,5.046,1.061
1.3,4.058,8.894,-2.008,4.679,1.244
1.235,3.955,8.813,-2.267,4.588,0.725
1.334,4.063,8.796,-1.466,4.328,0.534
1.324,4.015,8.83,-0.496,4.099,1.122
1.286,3.962,8.837,-0.824,4.924,0.595
1.298,4.089,8.799,-0.756,4.763,0.252
1.348,4.034,8.849,-0.137,4.198,0.473
1.295,4.032,8.933,-1.42,3.809,0.351
1.403,4.039,8.93,-1.092,4.053,0.626
1.365,4.171,8.928,-1.328,3.405,1.458
1.377,4.003,8.832,-2.015,3.542,1.725
1.271,3.974,8.77,-2.145,4.107,2.565
1.221,3.946,8.794,-0.573,4.832,0.962
1.29,3.95,8.851,-0.908,5.275,0.29
1.238,3.996,8.847,-1.618,4.42,-0.466
1.331,4.061,8.863,-1.176,4.397,-0.405
1.36,4.017,8.854,-1.107,4.16,0.13
1.453,3.967,8.744,-1.794,4.252,-0.595
1.41,4.022,8.796,-0.893,4.13,0.527
1.408,4.039,8.765,-1.282,4.527,0.427
1.341,4.034,8.775,-1.015,4.595,0.481
1.391,4.015,8.825,-0.115,5.221,0.45
1.336,3.996,8.792,-0.069,5.427,0.13
1.298,4.041,8.964,-0.504,5.053,0.626
1.36,4.13,8.964,-2.298,4.649,0.626
1.336,4.037,8.875,-2.42,4.771,1.176
1.381,3.929,8.933,-2.611,3.786,0.573
1.377,4.123,8.792,-2.191,4.779,0.015
1.312,4.113,8.847,-2.893,4.168,1.389
1.379,3.934,8.775,-0.885,3.542,1.573
1.425,4.003,8.78,-1.779,5.885,2.252
1.336,3.895,8.969,-2.107,4.74,1.565
1.307,4.005,8.882,-1.824,5.527,0.977
1.18,3.934,8.801,-1.458,4.351,1.573
1.238,3.946,8.796,-1.214,4.137,0.176
1.267,3.941,8.844,0.015,4.656,-0.038
1.283,3.919,8.921,-0.359,4.565,-0.87
1.448,3.912,8.823,-0.511,4.305,-1.427
1.405,4.068,8.866,0.053,4.939,-0.458
1.346,4.07,8.906,-1.466,4.718,-0.16
1.348,3.962,8.801,-0.031,3.962,0.863
1.396,3.972,8.741,-0.832,4.954,-0.58
1.274,4.123,8.866,-0.298,5.779,0.267
1.302,3.982,8.957,-0.443,4.962,0.641
1.358,4.049,8.942,-1.427,4.42,-0.282
1.326,4.041,8.866,-2.237,4.359,0.244
1.365,4.008,8.794,-2.237,4.924,0.191
1.338,4.051,8.813,-1.573,4.313,0.954
1.322,3.958,8.842,-0.611,4.328,1.336
1.405,4.037,8.868,-1.626,4.931,0.206
1.346,4.178,8.906,-2.771,4.565,0.802
1.444,4.046,8.744,-2.122,3.748,2.313
1.317,3.974,8.732,-1.893,5.771,2.115
1.257,3.879,8.796,-1.046,5.252,1.305
1.271,3.888,8.844,0.0,5.214,0.641
1.233,3.879,8.887,0.053,4.893,0.168
1.293,4.01,8.904,-0.939,5.779,-1.115
1.396,4.13,8.914,-1.527,4.901,-0.099
1.329,4.02,8.873,-0.45,4.458,0.122
1.36,4.005,8.861,-1.511,4.733,0.176
1.367,3.938,8.854,-0.748,4.313,0.13
1.362,4.032,8.89,-0.771,5.878,0.221
1.281,4.113,8.952,-2.58,6.16,0.496
1.274,4.017,8.978,-1.977,4.588,0.718
1.314,4.077,8.844,-3.969,4.733,0.061
1.369,3.994,8.782,-1.542,4.137,0.916
1.355,4.017,8.792,-3.015,4.26,0.031
1.427,4.089,8.823,-1.641,4.344,1.015
1.326,3.967,8.863,-1.794,4.252,1.58
1.25,3.876,8.859,-0.344,4.198,1.099
1.319,3.879,8.878,-1.687,4.298,0.412
1.379,4.075,8.878,-2.214,5.588,-0.718
1.314,4.075,8.973,-1.84,4.008,1.603
1.374,3.867,8.686,-1.13,4.252,0.863
1.317,4.017,8.722,-1.443,6.687,0.427
1.322,3.912,8.873,-0.748,5.626,0.038
1.3,4.041,8.861,0.87,4.733,0.313
1.326,3.994,8.904,-1.115,5.458,-0.244
1.279,4.034,8.976,-1.534,4.137,0.351
1.307,4.037,8.835,-0.313,3.679,0.901
1.221,3.979,8.947,-0.962,4.885,-0.046
1.317,3.979,8.861,-0.962,4.321,-0.244
1.355,3.989,8.787,-0.267,4.519,0.137
1.31,4.101,8.799,-1.557,4.985,0.466
1.298,3.962,8.906,-0.481,3.344,1.55
1.307,4.027,8.849,-1.031,4.679,0.84
1.259,3.986,8.923,-0.763,4.023,1.26
1.293,3.96,8.89,-1.733,4.168,0.221
1.358,4.02,8.875,-2.053,4.344,0.649
1.343,3.891,8.842,-1.412,4.618,0.855
1.336,4.075,8.887,-2.305,5.389,0.405
1.324,4.051,8.95,-2.885,5.183,0.328
1.389,4.068,8.729,0.099,3.626,1.672
1.317,3.907,8.844,-1.519,3.855,1.55
1.252,3.883,8.744,-1.115,4.588,1.198
1.298,3.895,8.82,-1.557,4.962,0.855
1.305,3.965,8.818,-2.099,4.878,0.153
1.274,4.041,8.894,-1.542,4.206,0.198
1.312,3.895,8.772,-1.618,3.55,0.374
1.358,3.907,8.619,0.344,4.695,-0.55
1.319,4.01,8.792,0.557,5.672,0.168
1.403,3.977,8.849,-0.214,5.084,-0.649
1.322,4.032,8.832,-0.198,4.985,0.244
1.343,4.013,8.93,-1.122,5.473,0.534
1.346,4.053,8.818,-1.0,4.519,0.489
1.31,4.077,8.827,-0.74,4.221,1.511
1.31,3.962,8.837,-1.015,4.603,0.359
1.233,4.027,9.0,-1.527,4.931,0.511
1.372,4.053,8.868,-1.893,4.435,0.053
1.348,4.106,8.928,-2.473,4.313,1.206
1.434,3.953,8.765,-2.115,2.794,0.42
1.302,4.017,8.878,-1.763,3.511,1.313
1.389,3.893,8.746,-0.718,4.382,1.328
1.279,3.96,8.82,-1.16,4.504,0.435
1.279,3.936,8.806,-0.481,5.038,0.504
1.3,3.905,8.894,-0.466,4.969,0.069
1.286,4.07,8.952,-0.244,4.412,-0.267
1.42,3.991,8.803,-0.962,4.603,0.115
1.441,3.907,8.88,-0.58,4.656,0.198
1.384,4.087,8.923,-1.198,4.786,0.015
1.341,4.001,8.806,-0.634,4.313,1.29
1.355,3.982,8.746,-0.718,4.45,1.0
