ax_ms2,ay_ms2,az_ms2,gx_dps,gy_dps,gz_dps
1.226,3.558,8.971,-0.847,4.664,0.992
1.298,3.582,8.969,-1.802,5.015,0.29
1.219,3.74,9.052,-1.015,6.053,0.397
1.223,3.654,9.11,-1.496,5.42,1.046
1.188,3.649,9.043,-1.962,4.931,0.794
1.211,3.608,9.064,-1.489,4.878,1.16
1.233,3.551,9.038,-2.863,4.481,0.809
1.154,3.68,8.945,-1.359,4.084,0.718
1.233,3.543,8.983,-1.191,5.0,0.992
1.185,3.656,9.021,-0.824,4.679,0.542
1.257,3.606,9.041,-0.939,5.718,-0.099
1.207,3.68,9.134,-0.847,4.809,1.023
1.226,3.639,9.136,-1.87,4.427,1.504
1.185,3.584,9.091,-2.863,4.748,1.511
1.161,3.68,9.012,-2.611,4.344,0.969
1.228,3.531,9.0,-1.916,4.542,1.031
1.231,3.536,8.902,-1.206,4.42,0.145
1.243,3.675,9.105,-0.565,4.878,0.55
1.226,3.563,9.05,-2.191,4.817,0.321
1.279,3.567,8.985,-0.191,4.817,0.282
1.144,3.546,9.1,-0.878,5.489,0.519
1.214,3.606,8.985,-2.504,4.962,-0.214
1.202,3.637,8.969,0.115,4.588,0.695
1.159,3.589,9.074,-1.542,4.954,-0.122
1.245,3.625,8.945,-1.405,4.16,0.137
1.235,3.651,9.019,0.359,4.947,0.405
1.149,3.618,9.098,-1.397,4.939,0.458
1.178,3.63,9.026,-0.969,4.603,0.626
1.195,3.591,9.134,-0.618,4.573,0.458
1.183,3.515,9.1,-1.374,3.977,0.382
1.185,3.579,8.969,-1.824,4.313,0.328
1.243,3.625,8.914,-0.977,5.405,-0.221
1.183,3.579,9.091,0.313,4.87,0.473
1.199,3.594,9.127,-0.679,4.618,0.198
1.183,3.594,9.05,-2.237,4.992,0.305
1.211,3.661,9.041,-1.58,4.427,0.924
1.178,3.584,9.062,-0.878,4.328,0.244
1.188,3.61,9.069,-1.412,4.542,0.29
1.216,3.543,9.024,-0.817,4.137,0.557
1.185,3.661,9.045,-1.191,4.885,0.214
1.199,3.579,9.048,-1.214,4.611,0.42
1.164,3.634,9.062,-1.954,4.779,0.374
1.171,3.622,9.115,-0.122,4.168,0.763
1.192,3.644,9.031,-0.908,4.198,0.756
1.223,3.615,9.005,-2.16,4.71,0.321
1.132,3.62,9.038,0.168,4.008,0.763
1.25,3.608,9.131,-1.061,5.763,0.939
1.185,3.594,9.187,-1.267,4.389,0.603
1.216,3.589,9.084,-2.282,5.687,0.328
1.209,3.548,9.045,-1.115,4.527,0.55
1.202,3.575,8.94,-1.473,4.374,0.198
1.173,3.644,8.93,-1.137,4.947,1.023
1.221,3.61,9.048,-1.252,4.519,0.13
1.238,3.627,9.052,-0.275,5.053,0.45
1.197,3.666,9.153,-1.359,5.153,0.473
1.19,3.598,9.091,-0.664,4.29,0.878
1.211,3.692,9.021,-2.328,4.634,0.557
1.168,3.618,9.036,-1.87,4.298,0.473
1.197,3.543,9.038,-0.802,5.023,0.328
1.255,3.546,8.897,-1.214,4.756,0.328
1.183,3.68,9.019,-0.679,5.725,0.534
1.209,3.603,9.141,-0.687,5.076,0.794
1.188,3.642,9.067,-1.069,4.55,1.053
1.147,3.498,9.021,-0.496,3.389,1.183
1.209,3.517,9.048,-1.191,4.382,0.168
1.142,3.764,9.12,-1.29,4.641,-0.206
1.226,3.587,9.076,-0.847,3.305,0.328
1.207,3.613,9.081,-2.267,3.511,-0.344
1.358,3.589,8.954,-1.885,3.206,0.137
1.3,3.668,9.076,-1.779,4.374,0.099
1.233,3.555,9.057,-1.847,3.412,1.534
1.24,3.551,8.89,-1.504,3.397,1.031
1.245,3.469,8.892,-0.137,3.672,1.137
1.326,3.618,9.076,-1.664,6.237,-0.626
1.233,3.709,9.026,0.565,5.031,-0.176
1.262,3.519,8.897,-1.16,5.389,-0.229
1.207,3.613,8.93,-0.137,6.031,-0.916
1.341,3.551,8.928,0.397,7.504,-1.168
1.214,3.752,9.057,0.557,5.282,0.107
1.192,3.73,9.041,1.366,4.0,1.321
1.183,3.721,9.002,2.115,5.458,1.405
1.14,3.622,9.012,5.641,3.916,1.237
1.171,3.663,9.074,2.931,6.29,-0.542
1.065,3.768,9.306,-1.359,4.924,-1.038
1.221,3.747,9.026,-2.023,4.13,-1.763
1.214,3.938,8.897,-2.038,4.489,-0.695
1.159,3.924,9.012,-2.534,5.206,0.763
1.128,3.812,8.894,-2.504,3.908,1.725
1.164,3.618,8.847,-0.122,3.466,1.038
1.159,3.634,9.005,-0.321,4.885,-0.328
1.178,3.79,8.997,-1.557,4.511,-0.985
1.199,3.946,8.978,-0.802,5.626,0.183
1.207,3.663,8.976,-0.435,4.962,0.969
1.269,3.91,9.007,-2.13,5.595,0.466
1.211,3.852,9.057,-2.107,4.794,1.542
1.166,3.814,9.005,-1.634,4.244,1.534
1.159,3.816,8.976,-2.992,4.931,1.298
1.132,3.668,8.99,-1.71,4.214,1.435
1.152,3.68,8.99,-1.893,4.756,0.611
1.197,3.733,8.928,-1.908,5.137,0.588
1.199,3.768,8.973,-1.885,5.328,-0.183
1.326,3.771,8.933,-0.916,4.618,1.374
1.197,3.733,9.0,-0.756,6.298,1.321
1.135,3.663,9.148,-2.443,6.046,1.435
1.137,3.757,9.064,-2.695,5.023,0.832
1.159,3.697,9.007,-2.26,4.779,1.115
1.132,3.642,8.985,-2.435,4.534,0.412
1.125,3.682,9.024,-0.832,4.328,0.229
1.207,3.745,8.961,-1.031,4.496,0.473
1.202,3.673,9.031,-0.504,4.458,0.237
1.171,3.742,9.098,-2.557,5.053,0.137
1.183,3.716,9.098,-7.924,5.901,-1.641
1.233,3.821,8.995,-0.679,1.893,1.16
1.231,3.687,9.017,-0.458,3.183,1.389
1.089,3.467,9.098,-2.511,3.611,1.031
1.235,3.57,8.806,-1.695,3.206,-0.863
1.176,3.687,8.787,0.153,4.809,-0.168
1.276,3.524,8.849,-0.046,5.336,-0.573
1.207,3.797,9.096,-0.115,5.618,-0.115
1.25,3.663,9.086,0.412,4.267,0.924
1.192,3.642,9.062,-0.611,5.588,-0.008
1.149,3.673,9.131,-2.359,4.466,0.603
1.188,3.654,8.969,-1.672,3.771,0.466
1.214,3.634,8.825,-0.519,4.489,0.481
1.214,3.622,8.914,-1.038,5.916,-0.031
1.226,3.663,8.966,0.481,5.137,-0.489
1.159,3.735,9.064,0.305,5.13,0.313
1.192,3.716,9.124,-1.786,4.908,-0.191
1.202,3.795,9.098,-1.809,4.168,0.496
1.209,3.754,8.99,-0.389,4.145,0.626
1.207,3.725,9.002,-1.26,4.305,1.542
1.116,3.687,9.048,-1.595,4.626,0.863
1.166,3.639,9.055,-1.588,4.74,0.931
1.176,3.68,9.0,-1.198,4.267,0.634
1.176,3.62,9.002,-2.099,5.145,0.504
1.159,3.622,8.95,-1.603,5.183,0.076
1.238,3.67,8.971,-1.634,5.26,-0.092
1.231,3.764,9.057,-1.198,5.084,0.809
1.247,3.637,8.933,-0.473,4.382,0.733
1.094,3.689,9.033,-0.817,5.237,0.481
1.185,3.654,8.938,-0.145,4.733,0.282
1.152,3.778,9.024,0.069,5.817,0.466
1.202,3.649,9.074,-0.656,5.191,0.244
1.168,3.723,9.105,-0.611,5.267,-0.611
1.233,3.855,8.969,-0.718,4.611,0.26
1.164,3.685,8.988,-0.061,4.977,1.168
1.12,3.8,9.005,-1.672,5.58,0.634
1.101,3.706,9.041,-0.649,4.763,0.969
1.123,3.661,8.892,-0.458,4.519,0.412
1.123,3.654,8.969,-1.145,4.74,-0.015
1.106,3.776,8.971,-0.122,5.527,-0.137
1.128,3.73,9.069,-0.855,5.855,0.55
1.183,3.785,8.964,-1.855,5.595,0.015
1.092,3.843,9.182,-2.779,6.328,0.015
1.164,3.685,9.029,-1.084,4.412,1.069
