ax_ms2,ay_ms2,az_ms2,gx_dps,gy_dps,gz_dps
1.099,3.824,9.029,-0.679,4.687,0.557
1.07,3.766,8.945,-1.008,3.855,0.206
1.053,3.845,9.007,-0.771,5.496,0.496
1.073,3.824,8.976,-1.015,4.153,0.664
1.065,3.783,9.033,-0.084,3.809,1.031
1.025,3.733,8.993,-1.145,4.443,0.672
1.03,3.759,8.923,-1.153,4.458,0.107
1.02,3.996,8.906,-2.634,5.931,-0.26
1.07,3.764,8.99,-0.244,3.878,0.885
1.164,3.783,8.93,-1.206,4.336,0.427
0.965,3.991,9.273,-1.924,4.344,1.206
0.907,3.84,9.158,-2.603,2.45,1.26
1.106,3.622,8.878,-2.374,1.099,0.511
1.118,3.78,8.861,-3.84,3.137,-1.13
1.245,3.644,8.787,-1.672,3.145,0.618
1.228,3.764,8.758,-3.069,4.015,-0.038
1.207,3.91,8.806,-1.053,4.588,0.992
1.238,3.809,8.902,-0.122,6.786,0.458
0.96,3.819,9.093,-0.176,3.695,1.099
1.276,3.785,8.866,-1.969,5.122,-0.046
1.132,3.716,8.964,-0.275,6.13,0.336
1.08,3.802,9.038,-2.389,6.351,-0.305
1.075,3.737,8.909,-0.595,5.26,0.458
1.19,3.661,8.724,0.771,6.427,0.015
1.07,3.881,8.844,2.191,8.237,-0.565
0.977,3.915,9.021,1.679,7.344,-0.519
1.111,3.845,8.911,2.321,6.489,0.244
1.03,3.922,9.009,0.656,8.969,-1.023
0.903,3.948,9.16,-0.366,7.13,-1.0
0.972,4.085,9.115,-0.405,5.817,-0.45
0.917,4.049,8.868,1.947,2.397,2.443
0.989,3.809,8.871,-0.275,3.229,0.137
1.001,3.826,9.009,-0.229,3.534,0.603
0.958,3.955,9.029,-2.046,1.947,-0.252
1.082,4.13,8.916,-1.664,2.679,-0.26
1.049,4.044,8.88,-2.16,2.817,0.985
1.089,3.888,8.66,-1.252,4.153,0.298
1.041,3.838,8.887,-2.053,4.405,-0.046
1.128,3.812,8.825,-0.603,2.718,0.55
1.171,3.924,8.696,-2.473,6.473,-1.16
1.032,4.073,8.851,-0.802,6.58,0.16
1.027,3.9,8.921,-0.534,5.557,-0.29
0.991,3.974,9.057,-0.588,5.221,-0.076
1.034,3.967,9.005,-1.359,5.244,-0.298
1.061,3.859,8.887,0.023,5.336,1.031
0.95,3.876,8.856,2.16,4.595,1.275
0.962,3.905,8.911,-0.466,5.672,0.282
0.958,3.948,9.151,-3.344,7.069,-0.504
0.958,4.037,9.081,-1.649,4.328,0.924
1.02,3.864,8.988,-2.405,3.893,0.496
0.984,3.934,8.973,-3.84,3.298,0.656
1.061,3.965,8.803,-2.534,2.916,1.084
